번호,RMS ID,현장명,대수,전화번호,비고,,횟수,,시작시간,종료시간
53, 17-002436, 상도동210-29대왕주택, , 012-2430-2722, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035123, 0629 035208
54, 17-001503, 남현동602-54신축, , 012-2046-1344, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035209, 0629 035256
56, 17-004355, 방배동849-26신축, , 012-2425-2035, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035257, 0629 035344
58, 17-004358, 방배동839-14신축공사, , 012-2422-5819, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035344, 0629 035432
59, 17-005488, 서초동1487-110.111, , 012-2432-3858, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035432, 0629 035520
60, 17-005302, (BI)방배동795-21, , 012-2089-2053, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035520, 0629 035607
61, 17-005318, (D33)서초동1495-3, , 012-2016-4735, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035608, 0629 035655
62, 18-002894, 서초동1562-6신축, , 012-2476-1389, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035656, 0629 035743
63, 18-002896, 서초동1623-7신축, , 012-2462-2820, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035744, 0629 035831
64, 18-002903, 봉천동오스빌빌딩(낙성오피스텔), , 012-2015-2516, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035832, 0629 035919
65, 18-002908, 봉천동41-292빌라, , 012-2476-4035, 다운로드 초기화 실패, , 5, , 0629 035919, 0629 040004
66, 18-002915, 서초동1530-16, , 012-2477-1929, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040004, 0629 040051
68, 19-001122, 봉원중학교, , 012-2042-2778, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040052, 0629 040139
70, 18-004762, 사당동260-9공동주택, , 012-2043-3486, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040140, 0629 040227
71, 19-000005, 사당동217-15공동주택, , 012-2041-3551, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040228, 0629 040315
76, 16-000240, 축산물전시장및판매장, , 012-2085-1633, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040316, 0629 040403
77, 16-002672, 원주스타타워, , 012-2147-6067, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040403, 0629 040451
78, 17-003056, 명륜동114-1근린생활시설, , 012-2007-2029, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040451, 0629 040538
79, 17-003054, 우산동근생, , 012-2439-0879, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040539, 0629 040627
81, 18-001204, 무실동대원신협, , 012-2080-1439, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040627, 0629 040714
82, 19-002580, 단구동1473-3근생, , 012-2468-3832, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040715, 0629 040802
85, 19-002238, 단계동1196-2, , 012-2400-3103, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040803, 0629 040850
86, 19-002402, 반곡동1566-13, , 012-2014-9526, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040851, 0629 040938
87, 19-002249, 단계동1207-18, , 012-2057-2336, RMSDAS 접속 시간 초과(45초), , 5, , 0629 040939, 0629 041026
89, 19-002239, 단계동1196-8, , 012-2701-8208, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041027, 0629 041114
91, 19-002575, 서곡리1990-7, , 012-2011-3425, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041115, 0629 041202
92, 19-002247, 반곡동근생, , 012-2011-1856, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041202, 0629 041250
102, 19-003018, 통인동텐어클락, , 012-2067-0560, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041250, 0629 041337
111, 17-005516, 이태원동159-10, , 012-2452-4699, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041338, 0629 041425
114, 16-003784, 이태원동37빌딩[이태원동119-8], , 012-2449-2481, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041426, 0629 041513
117, 19-001445, 연희동86-5, , 012-2011-5470, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041514, 0629 041601
126, 15-000098, 수유동한강에스클래스3, , 012-2057-3678, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041602, 0629 041649
127, 15-002434, 호원동회룡타운(50-2), , 012-2086-2644, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041650, 0629 041737
128, 15-002434, 호원동회룡타운(50-2), , 012-2086-2644, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041737, 0629 041825
130, 16-001384, BI의정부지방검찰청엘리베이터, , 012-2048-5929, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041825, 0629 041912
131, 16-001382, 인성하이츠빌 가능동638-2, , 012-2069-1003, RMSDAS 접속 시간 초과(45초), , 5, , 0629 041913, 0629 042000
132, 15-001805, 의정부교구교정센터(그루터기), , 012-2083-0194, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042001, 0629 042048
134, 16-001779, 라벨르빌3차(A.B동), , 012-2428-3177, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042049, 0629 042134
136, 16-002769, 창동힐트리움662(101동.102동)(창동662-15), , 012-2438-0706, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042135, 0629 042222
137, 16-002770, 창동힐트리움662(101동.102동)(창동662-15), , 012-2438-0761, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042223, 0629 042310
138, 16-002772, 창동힐트리움662(103동.105동) (662-15), , 012-2438-0763, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042310, 0629 042358
139, 16-003622, 한원힐트리움, , 012-2449-2396, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042358, 0629 042446
140, 16-004174, ch 빌딩, , 012-2099-7075, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042446, 0629 042533
141, 17-000118, 신곡동자동차판매건물(BMW), , 012-2074-1728, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042534, 0629 042621
142, 17-001411, 리코하이빌신축공사, , 012-2046-1320, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042622, 0629 042707
143, 17-002592, 웰하우스신축, , 012-2147-7477, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042708, 0629 042755
145, 17-001415, 나라타운빌(민락2지구1-28), , 012-2423-4850, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042756, 0629 042843
148, 17-001413, 호원동357-5(에비뉴빌), , 012-2421-3546, RMSDAS 접속 시간 초과(45초), , 5, , 0629 042950, 0629 043037
152, 17-004080, 도봉동605-39, , 012-2452-2284, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043037, 0629 043123
153, 17-004086, 쌍문동503-39 (전인빌), , 012-2438-0934, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043123, 0629 043210
155, 18-000780, SEOULPARK HOTEL신축공사(서울파크호텔)(더, , 012-2432-3676, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043211, 0629 043258
158, 19-003395, 수유동270-142.143(신도58차), , 01224700064., RMSDAS 접속 시간 초과(45초), , 5, , 0629 043259, 0629 043346
159, 18-000816, 우성팰리스1동(가능동608-5.6), , 012-2459-3034, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043347, 0629 043434
162, 18-000842, 허브빌(호원동240-2), , 012-2473-5736, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043435, 0629 043522
163, 18-002629, 노블하우징A, , 012-2015-2109, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043523, 0629 043608
165, 18-002647, 수유동270-141, , 012-2016-7162, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043608, 0629 043656
166, 18-002669, 매경더힐스102동(쌍문동103-77), , 012-2434-4197, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043656, 0629 043743
167, 19-000183, 수유동508-9.75.76, , 012-2103-9770, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043744, 0629 043831
169, 19-000538, 금오동447-19, , 012-2004-2342, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043832, 0629 043919
170, 19-002081, 여진빌딩(도당로99), , 012-2006-6762, RMSDAS 접속 시간 초과(45초), , 5, , 0629 043920, 0629 044007
171, 19-002082, 수유동410-199, , 012-2043-0838, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044008, 0629 044055
173, 19-002663, 베로니스(가능동745-10), , 012-2003-1092, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044055, 0629 044141
174, 19-002667, 수유동472-137, , 012-2089-8862, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044141, 0629 044227
175, 19-002951, 삼성하우징골드(가능동653-23), , 012-2014-3453, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044227, 0629 044314
178, 14-050711, 신월동시엘하임(씨엘하임), , 012-2015-4190, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044315, 0629 044402
179, 14-062611, 비아이(BI)한일빌딩, , 012-2013-4970, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044403, 0629 044450
184, 15-001407, 신월7동333-1다세대주택(그랜드팰리스)(지, , 012-2044-3786, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044451, 0629 044538
186, 15-001836, 양천보듬이나눔이어린이집, , 012-2083-0229, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044539, 0629 044626
187, 15-001279, 화곡동867근생(다안빌라트), , 012-2042-1246, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044626, 0629 044714
188, 16-000338, 목동신영리치빌, , 012-2074-2374, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044714, 0629 044801
189, 20-000392, 내발산동리치팰리스, , 012-2078-4094, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044802, 0629 044849
190, 16-000530, 신월동홍성어울림, , 012-2078-6281, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044850, 0629 044937
193, 16-003813, 목동이가채 가동, , 012-2454-0168, RMSDAS 접속 시간 초과(45초), , 5, , 0629 044938, 0629 045025
194, 17-000202, 신월동창우이지스, , 012-2068-3053, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045025, 0629 045113
197, 17-001676, 신월동가온빌, , 012-2046-1454, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045113, 0629 045200
200, 17-000391, 화곡동하나아이파크빌, , 012-2072-0697, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045201, 0629 045248
204, 17-003249, 등촌동미소빌, , 012-2068-3305, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045249, 0629 045336
205, 17-001591, 화곡동랜드하우스, , 012-2068-2934, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045337, 0629 045424
209, 15-001829, 화곡동다솜A, , 012-2083-0222, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045425, 0629 045512
212, 17-005552, 신월동18다세대신축(아크로힐즈), , 012-2452-4622, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045513, 0629 045600
213, 18-000113, 공항동드리미타운, , 012-2081-4899, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045600, 0629 045648
215, 18-000118, 화곡동1043-28다가구, , 012-2004-4664, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045648, 0629 045736
216, 18-002312, 신정동예도하임, , 012-2010-1352, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045736, 0629 045823
217, 18-002794, 당산동6가237-10, , 012-2440-0969, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045824, 0629 045911
222, 19-001247, 코위버마곡사옥, , 012-2016-3127, RMSDAS 접속 시간 초과(45초), , 5, , 0629 045912, 0629 045959
225, 14-043421, 작전동서보한마음빌딩[식별번호:2-27], , 012-2014-4198, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050000, 0629 050047
228, 14-131911, 신광화학공장(신광엠엔피)[식별번호:6-70], , 012-2086-3985, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050048, 0629 050135
230, 14-138011, 춘의동125-30(신원로얄펠리스)[식별번호:5-, , 012-2053-2431, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050136, 0629 050221
232, 15-000651, 심곡동373-11근생(스타파크빌)[식별번호:5-, , 012-2056-8443, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050221, 0629 050309
250, 17-001131, 부평동12-13빌라 (한강캐슬), , 012-2048-6683, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050309, 0629 050357
253, 17-001155, 그린힐타운(범박동200근생), , 012-2446-0254, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050357, 0629 050444
261, 18-000521, 내동노력산업사옥, , 012-2069-7143, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050445, 0629 050532
267, 18-004078, 춘의동220-2(화인빌)(파인빌)[식별번호:5-7, , 012-2147-9397, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050533, 0629 050620
268, 18-004726, 부평동148-24숙박시설, , 012-2008-4513, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050621, 0629 050708
269, 19-000642, 원종동291-19.20(원종스카이빌), , 012-2003-9818, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050709, 0629 050756
275, 15-000555, 지산동1002-5다가구주택, , 012-2056-8425, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050756, 0629 050844
276, 14-133411, 범어동65-22단독주택, , 012-2054-2423, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050844, 0629 050931
279, 15-001534, 황창식씨빌라(아름드리), , 012-2080-1266, RMSDAS 접속 시간 초과(45초), , 5, , 0629 050932, 0629 051019
281, 15-000561, 황금동795-10빌라(비아리츠빌라), , 012-2054-8426, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051020, 0629 051107
282, 15-001073, 케이에이치건설(청우빌딩), , 012-2041-0680, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051108, 0629 051155
283, 15-002475, 두산동623근생(JWD), , 012-2086-2710, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051156, 0629 051243
284, 15-001848, 만촌동430-14근린(소희빌딩), , 012-2083-0241, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051244, 0629 051329
285, 16-000180, 신암동355-5다가구(래미안빌), , 012-2097-2995, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051329, 0629 051417
286, 16-000185, 신천동42-2다가구(대가), , 012-2097-3005, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051417, 0629 051505
288, 16-000585, 두산동근생(엔더스타), , 012-2048-5972, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051505, 0629 051552
289, 16-001524, 만촌동1001-48외다세대(수성리더스), , 012-2068-0564, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051553, 0629 051640
290, 16-002021, 신암동205-3원룸(예가), , 012-2041-5093, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051641, 0629 051728
291, 16-000957, 지산동1207-9(8)다세대(다인빌), , 012-2006-4213, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051729, 0629 051816
292, 14-139311, 황금동근린(대경빌딩)황금동766-1, , 012-2086-7042, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051817, 0629 051904
293, 16-003262, 효목동632-1(신세계빌), , 012-2072-0612, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051905, 0629 051950
294, 17-001381, 두산동근생공사(소노마마), , 012-2082-2788, RMSDAS 접속 시간 초과(45초), , 5, , 0629 051950, 0629 052038
295, 17-001548, 황금동567-10근생(로띠모)(라띠모), , 012-2438-0486, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052038, 0629 052125
296, 17-002753, 방촌동857-55근생, , 012-2448-1374, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052126, 0629 052211
297, 17-003484, 만촌동447다가구(만촌동447-14.햇살가득), , 012-2440-1063, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052212, 0629 052259
298, 17-003488, 지산동987-2다세대주택(소소헌), , 012-2438-1094, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052300, 0629 052347
300, 17-003567, 산격동1407-11다가구주택(엠스퀘어), , 012-2462-2673, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052348, 0629 052435
301, 17-004814, 만촌동79다세대(유앤빌), , 012-2417-4486, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052436, 0629 052521
302, 17-005186, 복현동424-3다가구주택, , 012-2472-0654, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052521, 0629 052609
303, 18-000408, 대현동277-54다가구(리더스타운), , 012-2445-1896, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052609, 0629 052657
304, 18-000775, 지저동866-3근생, , 012-2474-4091, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052657, 0629 052744
305, 18-000775, 지저동866-3근생, , 012-2474-4091, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052745, 0629 052832
308, 18-004898, 만촌동1049다가구(라테라스), , 012-2068-1215, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052833, 0629 052920
309, 19-000794, 두산동135-6가필지, , 012-2016-3731, RMSDAS 접속 시간 초과(45초), , 5, , 0629 052921, 0629 053008
312, 15-000896, 대흥동531-7(한민내과), , 012-2040-0348, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053009, 0629 053056
316, 16-002185, 괴정동95-27다가구, , 012-2043-4447, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053056, 0629 053144
318, 16-003680, 중리동365-6(준빌딩), , 012-2449-2438, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053144, 0629 053231
319, 16-002878, 선화동229-5다가구, , 012-2069-3368, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053232, 0629 053319
321, 17-000378, 사정동440-4, , 012-2462-5744, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053320, 0629 053407
322, 17-000537, 괴정동116-4다가구, , 012-2016-1869, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053408, 0629 053455
323, 17-001663, 정림초등학교장애인편의시설, , 012-2440-0998, RMSDAS 접속중 서버 연결 해제, , 5, , 0629 053456, 0629 053514
325, 17-001661, 괴정동71-18다가구(엘림빌2), , 012-2421-3554, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053515, 0629 053617
327, 17-001230, D33-글꽃초등학교, , 012-2438-1102, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053618, 0629 053705
329, 17-004222, 한울타리아파트, , 012-2019-2798, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053706, 0629 053753
331, 17-004887, 유천동298-15다가구주택신축, , 012-2084-2903, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053753, 0629 053838
333, 18-004624, D-가양동390-13, , 012-2003-9218, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053839, 0629 053926
334, 19-002074, 세명요양병원, , 012-2014-7588, RMSDAS 접속 시간 초과(45초), , 5, , 0629 053927, 0629 054014
335, 19-002075, BI-정림동678우성빌딩, , 012-2007-8317, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054015, 0629 054102
336, 19-002373, 가양동440-2다가구주택신축B, , 012-2009-7631, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054103, 0629 054150
340, 15-000336, 아산풍기동아울렛상가C단지(브띠끄), , 012-2070-7226, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054150, 0629 054238
347, 15-002516, 신방동1530, , 012-2086-2780, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054238, 0629 054323
349, 16-000798, 미라초등학교, , 012-2055-0258, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054324, 0629 054411
350, 16-001781, 신방동1917근생, , 012-2081-0849, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054412, 0629 054459
351, 16-003057, 불당동1186근생, , 012-2147-4867, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054500, 0629 054547
352, 17-000908, 백석동337-9, , 012-2099-7047, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054548, 0629 054635
353, 17-001091, 신방동1142근생주택, , 012-2428-6031, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054636, 0629 054723
354, 17-003530, 불당동6015다가구, , 012-2098-5686, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054724, 0629 054811
355, 17-002444, 용화동1486단독주택, , 012-2016-4440, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054811, 0629 054859
357, 18-003139, 성성동하나빌딩(하나타워), , 012-2053-0312, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054859, 0629 054947
358, 18-003139, 성성동하나빌딩(하나타워), , 012-2053-0312, RMSDAS 접속 시간 초과(45초), , 5, , 0629 054947, 0629 055032
359, 18-004702, 신방동1450-1근생, , 012-2019-7450, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055033, 0629 055120
360, 19-001949, 배방읍월천지구A27블럭3로트단독주택, , 012-2010-3708, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055121, 0629 055208
361, 14-018211, 화정동명품무인호텔, , 012-2013-1507, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055209, 0629 055256
365, 14-031911, 중흥동호반스위트빌, , 012-2014-2519, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055257, 0629 055344
369, 15-001016, 백운동순광타운102동, , 012-2041-0609, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055345, 0629 055432
370, 15-001425, 신안동오토빌, , 012-2044-3804, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055433, 0629 055520
372, 15-001014, 대인동노블타워, , 012-2041-1067, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055521, 0629 055608
373, 19-002853, 진월동전광빌딩(고시원), , 012-2041-0605, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055608, 0629 055656
375, 16-001454, 장동한스빌딩(한스학원), , 012-2069-3746, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055656, 0629 055743
377, 19-003604, 운암동배원빌딩, , 012-2067-2370, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055744, 0629 055831
381, 16-003341, 신용동다니엘(신용동786다가구), , 012-2098-5703, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055832, 0629 055919
382, 17-000036, 쌍암동윤진리안채, , 012-2807-7075, RMSDAS 접속 시간 초과(45초), , 5, , 0629 055920, 0629 060007
385, 17-002814, 용봉동누리마루, , 012-2448-1334, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060008, 0629 060055
387, 15-001417, 용봉동898근생(광호기업), , 012-2044-3796, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060055, 0629 060143
389, 17-005377, 용봉동비케이빌딩(BK빌딩), , 012-2007-8573, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060143, 0629 060229
391, 18-001285, 운암동940-1근생, , 012-2016-6268, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060229, 0629 060316
394, 18-003003, 양동321-3공동주택, , 012-2045-0241, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060317, 0629 060404
396, 18-004542, 오치동914-3다가구, , 012-2040-6053, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060405, 0629 060452
397, 18-004460, 서석동00다가구주택E동, , 012-2014-3491, 다운로드 초기화 실패, , 5, , 0629 060453, 0629 060540
398, 19-000086, 오치동914-35다가구, , 012-2047-8098, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060541, 0629 060628
399, 19-000085, 용봉동10-24다가구주택, , 012-2041-2322, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060629, 0629 060716
400, 19-000089, 오치동921-2다가구주택, , 012-2007-5408, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060717, 0629 060804
401, 19-000087, 용봉동1213-4다가구주택, , 012-2014-5109, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060805, 0629 060852
413, 19-002568, 횡성둔내아모리움, , 012-2067-1389, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060852, 0629 060940
414, 19-002569, 횡성둔내아모리움, , 012-2067-2236, RMSDAS 접속 시간 초과(45초), , 5, , 0629 060940, 0629 061027
415, 19-002570, 횡성둔내아모리움, , 012-2067-3043, RMSDAS 접속 시간 초과(45초), , 5, , 0629 061028, 0629 061115
